Transaction_ID,Transaction_Date,Customer_ID,Product_ID,Store_ID,Quantity_Sold,Unit_Price,Discount,Sales_Amount,Cost_Amount,Profit
TXN027995,2024-06-13,C00048,P0046,ST003,1,9815.94,642.06,9173.88,6615.24,2558.64
TXN002022,2024-04-28,C02450,P0041,ST015,5,7676.63,3032.76,35350.39,30695.5,4654.89
TXN004177,2025-04-19,C00517,P0049,ST004,3,5964.46,611.84,17281.54,13023.27,4258.27
TXN015824,2025-11-14,C02212,P0005,ST018,1,11260.5,105.45,11155.05,8598.45,2556.6
TXN019684,2025-09-25,C01361,P0004,ST004,1,8916.96,377.23,8539.73,6402.93,2136.8
TXN000164,2025-03-10,C02020,P0015,ST012,2,3796.67,12.95,7580.39,6193.16,1387.23
TXN008948,2025-08-10,C00452,P0055,ST017,1,6346.64,52.46,6294.18,4293.45,2000.73
TXN033401,2025-11-08,C00199,P0007,ST012,1,1052.66,44.12,1008.54,908.71,99.83
TXN020986,2024-03-01,C01215,P0024,ST006,1,60242.71,5646.75,54595.96,43601.31,10994.65
TXN006194,2024-11-22,C02133,P0054,ST010,3,12791.57,772.53,37602.18,30972.99,6629.19
TXN001426,2024-01-07,C01567,P0057,ST016,2,14644.78,1224.05,28065.51,23215.28,4850.23
TXN004548,2024-11-10,C00228,P0033,ST003,2,364.15,1.93,726.37,520.78,205.59
TXN004002,2025-12-24,C01372,P0037,ST013,3,9095.17,3369.06,23916.45,19253.85,4662.6
TXN014517,2025-12-13,C00651,P0055,ST015,2,6346.64,1323.36,11369.92,8586.9,2783.02
TXN030058,2024-03-01,C00592,P0039,ST004,1,10846.14,147.68,10698.46,8947.64,1750.82
TXN037394,2024-08-18,C01215,P0009,ST001,1,16251.98,640.89,15611.09,10879.23,4731.86
TXN025018,2024-08-31,C00246,P0001,ST003,1,12736.73,390.5,12346.23,10005.24,2340.99
TXN020313,2024-04-19,C00904,P0018,ST008,2,40236.83,4379.17,76094.49,58901.76,17192.73
TXN001846,2024-06-17,C00462,P0042,ST008,1,1641.03,167.98,1473.05,1243.74,229.31
TXN032485,2025-03-12,C00528,P0040,ST014,4,10656.5,3461.34,39164.66,34614.8,4549.86
TXN023742,2024-06-17,C00179,P0053,ST020,1,4851.4,32.08,4819.32,3311.65,1507.67
TXN036966,2024-08-26,C01728,P0057,ST008,1,14644.78,320.99,14323.79,11607.64,2716.15
TXN036745,2025-02-20,C00564,P0040,ST015,1,10656.5,635.87,10020.63,8653.7,1366.93
TXN014382,2025-07-08,C00402,P0051,ST016,1,12289.04,600.59,11688.45,10594.78,1093.67
TXN007304,2025-06-16,C00108,P0040,ST013,2,10656.5,1275.2,20037.8,17307.4,2730.4
TXN012728,2025-10-13,C01127,P0034,ST001,1,1257.67,37.29,1220.38,1018.14,202.24
TXN034437,2025-09-18,C01777,P0016,ST019,1,11350.5,963.77,10386.73,8501.92,1884.81
TXN036074,2025-07-21,C01430,P0056,ST013,1,528.23,8.87,519.36,430.42,88.94
TXN036985,2024-06-22,C02343,P0051,ST013,3,12289.04,1625.69,35241.43,31784.34,3457.09
TXN025484,2025-06-29,C01434,P0035,ST004,1,15900.45,669.17,15231.28,10588.24,4643.04
TXN036513,2024-05-31,C02090,P0037,ST012,2,9095.17,720.28,17470.06,12835.9,4634.16
TXN001800,2025-11-01,C02017,P0005,ST019,2,11260.5,85.39,22435.61,17196.9,5238.71
TXN017338,2025-07-24,C00149,P0048,ST003,3,13330.32,1506.07,38484.89,32406.78,6078.11
TXN021952,2025-05-10,C01540,P0035,ST007,1,15900.45,413.89,15486.56,10588.24,4898.32
TXN009290,2024-03-03,C01619,P0021,ST013,1,26620.84,795.94,25824.9,17240.1,8584.8
TXN005858,2024-01-31,C01149,P0036,ST020,3,7304.72,804.11,21110.05,16027.47,5082.58
TXN021464,2024-03-11,C00763,P0007,ST010,1,1052.66,50.76,1001.9,908.71,93.19
TXN039983,2025-11-30,C00658,P0018,ST014,1,40236.83,2608.28,37628.55,29450.88,8177.67
TXN037529,2024-07-08,C01182,P0039,ST012,4,10846.14,1827.14,41557.42,35790.56,5766.86
TXN020730,2024-07-12,C00579,P0042,ST019,5,1641.03,110.53,8094.62,6218.7,1875.92
TXN040776,2025-02-11,C01898,P0049,ST015,1,5964.46,51.19,5913.27,4341.09,1572.18
TXN036721,2024-12-15,C00888,P0053,ST019,3,4851.4,2661.0,11893.2,9934.95,1958.25
TXN041939,2024-11-04,C01946,P0057,ST005,3,14644.78,772.82,43161.52,34822.92,8338.6
TXN021912,2025-11-04,C00472,P0018,ST001,1,40236.83,3877.63,36359.2,29450.88,6908.32
TXN043161,2024-10-20,C00140,P0033,ST009,1,364.15,1.99,362.16,260.39,101.77
TXN011177,2024-05-01,C01886,P0041,ST006,2,7676.63,1181.96,14171.3,12278.2,1893.1
TXN020877,2025-11-09,C02055,P0013,ST006,1,12169.5,58.57,12110.93,10386.47,1724.46
TXN023134,2024-02-08,C01020,P0046,ST006,3,9815.94,1864.18,27583.64,19845.72,7737.92
TXN005491,2025-01-27,C00564,P0046,ST004,1,9815.94,240.5,9575.44,6615.24,2960.2
TXN031714,2024-06-20,C02225,P0038,ST016,4,2067.97,291.9,7979.98,5510.0,2469.98
TXN024451,2025-02-07,C01880,P0054,ST013,1,12791.57,132.46,12659.11,10324.33,2334.78
TXN013786,2025-01-31,C01750,P0028,ST016,1,2365.59,32.94,2332.65,1570.66,761.99
TXN034557,2024-02-24,C01714,P0005,ST004,1,11260.5,399.24,10861.26,8598.45,2262.81
TXN028321,2025-01-28,C00622,P0053,ST018,4,4851.4,274.92,19130.68,13246.6,5884.08
TXN006318,2025-07-19,C00483,P0037,ST015,3,9095.17,677.25,26608.26,19253.85,7354.41
TXN042221,2024-08-06,C01485,P0001,ST001,3,12736.73,837.21,37372.98,30015.72,7357.26
TXN000806,2025-09-13,C00665,P0055,ST007,1,6346.64,124.06,6222.58,4293.45,1929.13
TXN034005,2024-05-22,C00281,P0024,ST008,2,60242.71,12581.22,107904.2,87202.62,20701.58
TXN014532,2025-12-31,C02387,P0043,ST018,3,4932.72,2691.71,12106.45,12307.92,-201.47
