Inventory_ID,Product_ID,Store_ID,Stock_Level,Reorder_Level,Inventory_Cost,Last_Restock_Date
INV000001,P0052,ST001,22,22,207268.16,2025-11-08
INV000002,P0008,ST001,35,13,8232.35,2025-02-08
INV000003,P0024,ST001,47,24,2049261.57,2025-06-15
INV000004,P0047,ST001,17,17,89130.49,2025-04-24
INV000005,P0054,ST001,25,35,258108.25,2025-08-27
INV000006,P0040,ST001,33,34,285572.1,2025-07-14
INV000007,P0032,ST001,55,34,203773.35,2025-07-09
INV000008,P0034,ST001,23,24,23417.22,2025-08-09
INV000009,P0017,ST001,56,33,1126044.64,2025-03-11
INV000010,P0010,ST001,55,40,189747.8,2025-03-14
INV000011,P0057,ST001,26,15,301798.64,2025-06-24
INV000012,P0056,ST001,29,30,12482.18,2025-08-12
INV000013,P0035,ST001,62,33,656470.88,2025-07-18
INV000014,P0055,ST001,36,25,154564.2,2025-03-19
INV000015,P0026,ST001,2,12,14674.48,2025-08-15
INV000016,P0045,ST001,34,29,50174.14,2025-01-25
INV000017,P0025,ST001,16,11,229090.08,2026-01-03
INV000018,P0049,ST001,27,34,117209.43,2025-08-29
INV000019,P0012,ST001,58,35,75320.54,2025-12-25
INV000020,P0007,ST001,73,35,66335.83,2025-02-08
INV000021,P0011,ST001,38,21,115121.76,2025-09-13
INV000022,P0002,ST001,60,29,69899.4,2025-08-01
INV000023,P0018,ST001,61,34,1796503.68,2025-10-08
INV000024,P0022,ST001,38,23,495924.32,2025-06-25
INV000025,P0038,ST001,34,22,46835.0,2025-02-17
INV000026,P0027,ST001,31,27,104249.9,2025-03-29
INV000027,P0042,ST001,48,29,59699.52,2025-06-18
INV000028,P0028,ST001,22,16,34554.52,2025-05-21
INV000029,P0039,ST001,12,34,107371.68,2025-07-18
INV000030,P0014,ST001,26,20,22574.76,2025-08-09
INV000031,P0031,ST001,32,32,123938.56,2025-10-05
INV000032,P0019,ST001,53,26,2210555.8,2025-07-09
INV000033,P0013,ST001,11,10,114251.17,2025-03-01
INV000034,P0041,ST001,46,33,282398.6,2025-01-03
INV000035,P0006,ST001,13,28,69439.37,2025-05-19
INV000036,P0023,ST001,50,26,1494282.5,2025-10-14
INV000037,P0050,ST001,27,10,300248.1,2025-05-14
INV000038,P0046,ST001,12,11,79382.88,2025-04-06
INV000039,P0016,ST001,67,39,569628.64,2025-06-26
INV000040,P0005,ST001,25,16,214961.25,2025-11-24
INV000041,P0051,ST001,14,28,148326.92,2025-06-17
INV000042,P0053,ST001,66,33,218568.9,2025-03-21
INV000043,P0029,ST001,72,36,44707.68,2025-12-15
INV000044,P0013,ST002,48,38,498550.56,2025-03-13
INV000045,P0031,ST002,7,26,27111.56,2025-04-03
INV000046,P0048,ST002,27,10,291661.02,2025-06-03
INV000047,P0034,ST002,78,38,79414.92,2025-03-11
INV000048,P0046,ST002,46,40,304301.04,2025-04-06
INV000049,P0045,ST002,58,28,85591.18,2025-09-20
INV000050,P0001,ST002,0,15,0.0,2025-11-05
INV000051,P0055,ST002,4,22,17173.8,2026-01-09
INV000052,P0003,ST002,25,25,41786.0,2025-09-23
INV000053,P0028,ST002,24,12,37695.84,2025-09-07
INV000054,P0021,ST002,27,31,465482.7,2025-06-23
INV000055,P0005,ST002,67,35,576096.15,2025-04-16
INV000056,P0026,ST002,28,20,205442.72,2025-02-10
INV000057,P0004,ST002,20,18,128058.6,2025-06-13
INV000058,P0024,ST002,53,36,2310869.43,2025-10-27
INV000059,P0047,ST002,26,22,136317.22,2025-08-28
INV000060,P0032,ST002,45,38,166723.65,2025-01-22
INV000061,P0044,ST002,51,24,455613.09,2025-04-22
INV000062,P0023,ST002,46,22,1374739.9,2025-05-31
INV000063,P0011,ST002,46,30,139357.92,2026-01-06
INV000064,P0015,ST002,39,21,120766.62,2025-07-27
INV000065,P0017,ST002,32,17,643454.08,2025-11-23
INV000066,P0025,ST002,23,30,329316.99,2025-02-18
INV000067,P0049,ST002,13,11,56434.17,2025-08-22
INV000068,P0020,ST002,0,24,0.0,2025-03-05
INV000069,P0036,ST002,23,13,122877.27,2025-01-02
INV000070,P0054,ST002,27,14,278756.91,2025-03-27
INV000071,P0012,ST002,11,11,14284.93,2025-09-03
INV000072,P0052,ST002,39,22,367429.92,2025-10-20
INV000073,P0002,ST002,11,18,12814.89,2025-04-30
INV000074,P0006,ST002,4,14,21365.96,2025-09-02
INV000075,P0029,ST002,50,33,31047.0,2025-05-05
INV000076,P0007,ST002,41,17,37257.11,2025-10-09
INV000077,P0019,ST002,35,15,1459801.0,2025-06-03
INV000078,P0057,ST002,14,10,162506.96,2025-07-02
INV000079,P0009,ST002,44,27,478686.12,2025-08-05
INV000080,P0018,ST002,48,23,1413642.24,2025-07-23
INV000081,P0036,ST003,0,40,0.0,2025-12-08
INV000082,P0015,ST003,16,13,49545.28,2025-11-04
INV000083,P0035,ST003,19,18,201176.56,2025-03-09
INV000084,P0006,ST003,27,38,144220.23,2025-10-16
INV000085,P0010,ST003,28,17,96598.88,2026-01-06
INV000086,P0049,ST003,45,28,195349.05,2025-02-19
INV000087,P0017,ST003,27,35,542914.38,2025-08-09
INV000088,P0016,ST003,66,26,561126.72,2025-05-11
INV000089,P0042,ST003,41,35,50993.34,2026-01-09
INV000090,P0039,ST003,0,39,0.0,2025-04-06
INV000091,P0037,ST003,39,32,250300.05,2025-10-23
INV000092,P0054,ST003,28,26,289081.24,2025-07-29
INV000093,P0003,ST003,88,31,147086.72,2025-09-01
INV000094,P0044,ST003,17,12,151871.03,2025-08-22
INV000095,P0043,ST003,24,14,98463.36,2025-07-10
INV000096,P0014,ST003,58,35,50359.08,2025-02-27
INV000097,P0041,ST003,29,34,178033.9,2025-04-10
INV000098,P0045,ST003,11,11,16232.81,2025-03-04
INV000099,P0057,ST003,22,14,255368.08,2026-01-12
INV000100,P0004,ST003,16,16,102446.88,2025-05-02
INV000101,P0047,ST003,26,14,136317.22,2025-03-09
INV000102,P0025,ST003,27,16,386589.51,2025-04-16
INV000103,P0001,ST003,39,32,390204.36,2025-06-02
INV000104,P0056,ST003,20,12,8608.4,2025-07-17
INV000105,P0029,ST003,24,34,14902.56,2026-01-12
INV000106,P0053,ST003,25,17,82791.25,2025-08-26
INV000107,P0022,ST003,15,15,195759.6,2025-08-13
INV000108,P0023,ST003,45,28,1344854.25,2025-10-12
INV000109,P0050,ST003,75,38,834022.5,2025-01-25
INV000110,P0026,ST003,28,28,205442.72,2025-10-02
INV000111,P0013,ST003,6,15,62318.82,2025-08-10
INV000112,P0012,ST003,39,15,50646.57,2025-02-15
INV000113,P0051,ST003,25,26,264869.5,2025-05-06
INV000114,P0007,ST003,18,14,16356.78,2025-01-14
INV000115,P0008,ST003,27,20,6350.67,2025-01-15
INV000116,P0002,ST003,5,15,5824.95,2025-11-01
INV000117,P0046,ST003,77,27,509373.48,2025-10-30
INV000118,P0021,ST003,32,25,551683.2,2025-02-23
INV000119,P0040,ST003,20,12,173074.0,2025-11-17
INV000120,P0028,ST003,45,27,70679.7,2025-02-10
INV000121,P0011,ST003,28,31,84826.56,2025-10-13
INV000122,P0037,ST004,33,27,211792.35,2025-12-26
INV000123,P0019,ST004,23,23,959297.8,2025-03-09
INV000124,P0056,ST004,19,16,8177.98,2025-06-24
INV000125,P0042,ST004,68,40,84574.32,2025-06-28
INV000126,P0050,ST004,43,29,478172.9,2025-12-22
INV000127,P0036,ST004,24,30,128219.76,2025-05-28
INV000128,P0052,ST004,54,36,508749.12,2025-09-24
INV000129,P0041,ST004,42,28,257842.2,2025-08-14
INV000130,P0035,ST004,19,14,201176.56,2025-12-30
INV000131,P0009,ST004,4,17,43516.92,2025-02-16
INV000132,P0025,ST004,11,16,157499.43,2025-12-10
INV000133,P0039,ST004,38,24,340010.32,2025-01-14
INV000134,P0030,ST004,18,15,114209.64,2025-08-21
INV000135,P0022,ST004,37,13,482873.68,2025-03-09
INV000136,P0053,ST004,14,16,46363.1,2025-05-04
INV000137,P0044,ST004,64,38,571749.76,2025-11-22
INV000138,P0038,ST004,79,34,108822.5,2025-06-25
INV000139,P0032,ST004,2,24,7409.94,2025-07-11
INV000140,P0016,ST004,23,18,195544.16,2025-10-03
INV000141,P0002,ST004,30,20,34949.7,2025-02-26
INV000142,P0043,ST004,31,29,127181.84,2025-10-01
INV000143,P0008,ST004,55,34,12936.55,2025-04-01
INV000144,P0013,ST004,4,17,41545.88,2025-01-05
INV000145,P0033,ST004,0,23,0.0,2025-03-26
INV000146,P0048,ST004,14,11,151231.64,2025-02-04
INV000147,P0011,ST004,16,27,48472.32,2025-11-17
INV000148,P0017,ST004,48,26,965181.12,2025-12-24
INV000149,P0014,ST004,16,23,13892.16,2025-01-14
INV000150,P0051,ST004,64,34,678065.92,2025-03-27
INV000151,P0010,ST004,33,31,113848.68,2025-04-14
INV000152,P0006,ST004,20,23,106829.8,2025-04-17
INV000153,P0034,ST004,14,25,14253.96,2025-11-11
INV000154,P0015,ST004,14,10,43352.12,2025-08-05
INV000155,P0040,ST004,24,25,207688.8,2025-12-02
INV000156,P0001,ST004,32,22,320167.68,2025-09-22
INV000157,P0055,ST004,23,11,98749.35,2025-03-29
INV000158,P0007,ST004,45,28,40891.95,2025-05-08
INV000159,P0057,ST004,30,19,348229.2,2025-10-27
INV000160,P0028,ST004,79,39,124082.14,2025-08-20
INV000161,P0025,ST005,19,33,272044.47,2025-04-28
INV000162,P0052,ST005,4,19,37685.12,2025-07-24
INV000163,P0030,ST005,91,37,577393.18,2025-07-26
INV000164,P0001,ST005,19,15,190099.56,2025-07-08
INV000165,P0055,ST005,60,29,257607.0,2025-02-02
INV000166,P0043,ST005,50,40,205132.0,2025-02-05
INV000167,P0029,ST005,40,39,24837.6,2025-12-30
INV000168,P0024,ST005,4,16,174405.24,2025-09-29
INV000169,P0015,ST005,32,13,99090.56,2025-06-09
INV000170,P0032,ST005,31,36,114854.07,2025-06-06
INV000171,P0010,ST005,30,21,103498.8,2025-11-29
INV000172,P0019,ST005,59,34,2460807.4,2025-05-13
INV000173,P0034,ST005,14,15,14253.96,2025-01-05
INV000174,P0023,ST005,39,28,1165540.35,2025-06-18
INV000175,P0009,ST005,56,32,609236.88,2025-07-22
INV000176,P0056,ST005,20,20,8608.4,2025-06-17
INV000177,P0041,ST005,15,11,92086.5,2025-09-22
INV000178,P0053,ST005,12,16,39739.8,2025-09-27
INV000179,P0007,ST005,23,23,20900.33,2025-06-25
INV000180,P0051,ST005,19,26,201300.82,2025-08-22
INV000181,P0008,ST005,35,21,8232.35,2025-06-19
INV000182,P0018,ST005,43,18,1266387.84,2025-07-05
INV000183,P0050,ST005,40,25,444812.0,2025-11-15
INV000184,P0031,ST005,35,31,135557.8,2025-05-28
INV000185,P0048,ST005,54,34,583322.04,2025-07-29
INV000186,P0033,ST005,21,19,5468.19,2025-07-12
INV000187,P0028,ST005,7,25,10994.62,2025-01-30
INV000188,P0039,ST005,39,15,348957.96,2025-05-09
INV000189,P0026,ST005,21,13,154082.04,2025-01-27
INV000190,P0022,ST005,18,17,234911.52,2025-11-21
INV000191,P0035,ST005,21,22,222353.04,2025-03-31
INV000192,P0013,ST005,30,21,311594.1,2025-12-05
INV000193,P0047,ST005,25,18,131074.25,2025-12-10
INV000194,P0045,ST005,50,35,73785.5,2025-07-08
INV000195,P0046,ST005,18,13,119074.32,2025-06-20
INV000196,P0016,ST005,36,26,306069.12,2025-10-13
INV000197,P0006,ST005,11,13,58756.39,2025-12-02
INV000198,P0020,ST005,34,27,741768.48,2025-01-04
INV000199,P0021,ST005,57,32,982685.7,2025-05-03
INV000200,P0037,ST005,14,11,89851.3,2025-12-27
INV000201,P0014,ST005,6,12,5209.56,2025-03-29
INV000202,P0004,ST005,40,31,256117.2,2025-11-11
INV000203,P0011,ST005,32,18,96944.64,2025-08-29
INV000204,P0054,ST005,44,21,454270.52,2025-10-04
INV000205,P0049,ST005,50,34,217054.5,2025-08-17
INV000206,P0005,ST005,31,15,266551.95,2025-04-01
INV000207,P0057,ST005,22,36,255368.08,2025-01-23
INV000208,P0040,ST005,17,19,147112.9,2025-06-15
INV000209,P0028,ST006,48,39,75391.68,2025-08-11
INV000210,P0042,ST006,18,30,22387.32,2025-07-01
INV000211,P0025,ST006,11,25,157499.43,2025-10-10
INV000212,P0037,ST006,28,37,179702.6,2025-06-23
INV000213,P0055,ST006,26,14,111629.7,2025-09-01
INV000214,P0039,ST006,14,15,125266.96,2025-07-05
INV000215,P0045,ST006,24,26,35417.04,2025-04-05
INV000216,P0010,ST006,27,31,93148.92,2025-09-25
INV000217,P0051,ST006,54,40,572118.12,2025-09-12
INV000218,P0040,ST006,15,11,129805.5,2025-12-20
INV000219,P0057,ST006,38,31,441090.32,2025-07-01
INV000220,P0017,ST006,42,38,844533.48,2025-04-08
INV000221,P0049,ST006,12,35,52093.08,2025-07-10
INV000222,P0012,ST006,44,30,57139.72,2025-08-13
INV000223,P0035,ST006,48,39,508235.52,2025-03-29
INV000224,P0032,ST006,75,40,277872.75,2025-12-09
INV000225,P0031,ST006,31,31,120065.48,2025-06-30
INV000226,P0046,ST006,21,23,138920.04,2025-08-01
INV000227,P0043,ST006,65,33,266671.6,2025-06-16
INV000228,P0020,ST006,5,10,109083.6,2025-12-12
INV000229,P0013,ST006,16,15,166183.52,2025-11-23
INV000230,P0044,ST006,4,24,35734.36,2025-10-07
INV000231,P0056,ST006,15,31,6456.3,2025-12-25
INV000232,P0007,ST006,19,17,17265.49,2025-06-14
INV000233,P0003,ST006,27,17,45128.88,2025-12-10
INV000234,P0053,ST006,35,32,115907.75,2025-11-21
INV000235,P0050,ST006,79,32,878503.7,2025-01-26
INV000236,P0038,ST006,34,32,46835.0,2025-09-07
INV000237,P0008,ST006,51,28,11995.71,2025-11-23
INV000238,P0027,ST006,20,24,67258.0,2025-02-16
INV000239,P0015,ST006,23,20,71221.34,2025-10-01
INV000240,P0001,ST006,0,15,0.0,2025-08-08
INV000241,P0009,ST006,51,29,554840.73,2025-06-14
INV000242,P0022,ST006,36,24,469823.04,2025-10-24
INV000243,P0026,ST006,39,23,286152.36,2025-07-26
INV000244,P0034,ST006,33,33,33598.62,2025-08-31
INV000245,P0030,ST006,58,30,368008.84,2025-09-20
INV000246,P0005,ST006,13,18,111779.85,2025-04-16
INV000247,P0052,ST006,11,17,103634.08,2025-10-21
INV000248,P0014,ST006,13,13,11287.38,2025-11-10
INV000249,P0004,ST006,7,11,44820.51,2025-12-19
INV000250,P0033,ST006,17,19,4426.63,2025-10-11
INV000251,P0021,ST006,13,10,224121.3,2025-03-03
INV000252,P0048,ST006,17,33,183638.42,2025-01-20
INV000253,P0011,ST006,18,28,54531.36,2025-08-30
INV000254,P0002,ST006,45,35,52424.55,2025-06-22
INV000255,P0019,ST006,19,14,792463.4,2025-08-14
INV000256,P0047,ST006,36,28,188746.92,2025-03-18
INV000257,P0036,ST006,29,28,154932.21,2025-09-13
INV000258,P0016,ST006,53,40,450601.76,2026-01-11
INV000259,P0054,ST006,35,30,361351.55,2025-04-22
INV000260,P0055,ST007,17,13,72988.65,2025-08-20
INV000261,P0016,ST007,52,25,442099.84,2025-03-27
INV000262,P0020,ST007,12,29,261800.64,2025-11-28
INV000263,P0013,ST007,69,32,716666.43,2025-04-28
INV000264,P0003,ST007,22,17,36771.68,2025-01-29
INV000265,P0034,ST007,46,34,46834.44,2025-05-22
INV000266,P0044,ST007,6,10,53601.54,2025-02-17
INV000267,P0017,ST007,53,25,1065720.82,2026-01-03
INV000268,P0022,ST007,8,22,104405.12,2025-09-13
INV000269,P0015,ST007,35,20,108380.3,2025-04-28
INV000270,P0018,ST007,9,33,265057.92,2025-03-05
INV000271,P0052,ST007,27,25,254374.56,2025-01-31
INV000272,P0031,ST007,16,10,61969.28,2025-10-12
INV000273,P0006,ST007,62,34,331172.38,2025-10-10
INV000274,P0035,ST007,17,13,180000.08,2025-04-17
INV000275,P0037,ST007,58,33,372241.1,2025-01-08
INV000276,P0004,ST007,38,37,243311.34,2025-03-04
INV000277,P0047,ST007,31,31,162532.07,2025-10-25
INV000278,P0030,ST007,9,30,57104.82,2025-05-25
INV000279,P0029,ST007,31,20,19249.14,2025-09-19
INV000280,P0033,ST007,37,30,9634.43,2025-01-27
INV000281,P0043,ST007,19,13,77950.16,2025-12-17
INV000282,P0045,ST007,76,34,112153.96,2025-06-07
INV000283,P0007,ST007,32,20,29078.72,2025-02-26
INV000284,P0001,ST007,24,24,240125.76,2025-11-15
INV000285,P0046,ST007,41,30,271224.84,2025-05-27
INV000286,P0050,ST007,41,28,455932.3,2025-10-15
INV000287,P0056,ST007,20,20,8608.4,2025-08-15
INV000288,P0025,ST007,44,29,629997.72,2025-12-11
INV000289,P0005,ST007,18,12,154772.1,2025-09-13
INV000290,P0049,ST007,33,35,143255.97,2025-12-26
INV000291,P0038,ST007,1,30,1377.5,2025-08-10
INV000292,P0002,ST007,40,24,46599.6,2025-05-22
INV000293,P0014,ST007,28,18,24311.28,2025-04-08
INV000294,P0009,ST007,26,23,282859.98,2025-05-28
INV000295,P0027,ST007,42,24,141241.8,2025-09-29
INV000296,P0026,ST007,42,32,308164.08,2025-04-09
INV000297,P0010,ST007,0,30,0.0,2025-10-25
INV000298,P0048,ST007,39,33,421288.14,2025-10-10
INV000299,P0042,ST007,4,18,4974.96,2025-12-17
INV000300,P0008,ST007,28,16,6585.88,2025-09-07
INV000301,P0057,ST007,8,26,92861.12,2025-10-05
INV000302,P0024,ST007,43,39,1874856.33,2025-04-06
INV000303,P0054,ST008,23,28,237459.59,2025-10-13
INV000304,P0004,ST008,19,21,121655.67,2025-02-16
INV000305,P0050,ST008,77,40,856263.1,2025-11-17
INV000306,P0040,ST008,16,20,138459.2,2025-12-15
INV000307,P0033,ST008,20,17,5207.8,2025-02-25
INV000308,P0028,ST008,45,29,70679.7,2026-01-09
INV000309,P0014,ST008,8,11,6946.08,2026-01-16
INV000310,P0020,ST008,16,34,349067.52,2025-07-02
INV000311,P0029,ST008,39,34,24216.66,2025-06-21
INV000312,P0005,ST008,58,40,498710.1,2025-12-11
INV000313,P0023,ST008,16,26,478170.4,2025-12-02
INV000314,P0036,ST008,8,28,42739.92,2025-04-03
INV000315,P0009,ST008,30,28,326376.9,2025-08-09
INV000316,P0019,ST008,10,21,417086.0,2025-05-22
INV000317,P0007,ST008,37,20,33622.27,2025-06-09
INV000318,P0008,ST008,46,32,10819.66,2025-06-07
INV000319,P0046,ST008,45,20,297685.8,2025-12-20
INV000320,P0016,ST008,24,21,204046.08,2025-12-30
INV000321,P0057,ST008,18,14,208937.52,2025-06-19
INV000322,P0025,ST008,19,13,272044.47,2025-11-18
INV000323,P0002,ST008,29,16,33784.71,2025-07-09
INV000324,P0044,ST008,20,31,178671.8,2025-09-27
INV000325,P0042,ST008,15,17,18656.1,2025-06-10
INV000326,P0038,ST008,13,12,17907.5,2025-12-11
INV000327,P0053,ST008,25,39,82791.25,2025-10-08
INV000328,P0043,ST008,80,25,328211.2,2025-05-25
INV000329,P0032,ST008,54,39,200068.38,2025-10-15
INV000330,P0039,ST008,43,26,384748.52,2025-12-19
INV000331,P0018,ST008,64,28,1884856.32,2025-01-24
INV000332,P0048,ST008,24,20,259254.24,2025-05-01
INV000333,P0041,ST008,16,17,98225.6,2025-08-03
INV000334,P0037,ST008,37,27,237464.15,2025-12-19
INV000335,P0021,ST008,28,38,482722.8,2025-02-07
INV000336,P0024,ST008,40,30,1744052.4,2025-05-23
